                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.26735,                 0.4238,                0.24867,                0.92785,                0.99867,                      1,                  0.995,                 0.9792,                0.99867,                      1,                  0.995,                0.98782,                0.25328,                0.31325,                0.30282,                0.68536,              0.0010694,              0.0010694,              0.0010694
                     50,                0.25403,                0.39709,                0.23219,                0.93246,                0.99891,                      1,                  0.995,                0.97361,                0.99891,                      1,                  0.995,                0.98618,                0.30238,                0.32219,                0.29683,                0.72844,              0.0010496,              0.0010496,              0.0010496
                     51,                0.25645,                0.42546,                0.22342,                0.92386,                0.99887,                      1,                  0.995,                0.97418,                0.99887,                      1,                  0.995,                0.97805,                 0.2192,                 0.4028,                0.31785,                0.66649,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.2532,                0.42593,                0.22416,                0.91946,                0.99881,                      1,                  0.995,                0.97762,                0.99881,                      1,                  0.995,                0.97584,                0.24539,                0.42032,                0.33884,                0.67934,                0.00101,                0.00101,                0.00101
                     53,                0.26177,                0.42891,                0.22862,                0.93493,                0.99902,                      1,                  0.995,                0.99326,                0.99902,                      1,                  0.995,                0.98775,                0.19316,                0.32231,                0.24315,                0.62787,              0.0009902,              0.0009902,              0.0009902
                     54,                0.26156,                0.42001,                0.22768,                0.93819,                 0.9976,                      1,                  0.995,                0.99045,                 0.9976,                      1,                  0.995,                0.98682,                0.23871,                0.31721,                0.30978,                0.68767,              0.0009704,              0.0009704,              0.0009704
                     55,                0.24124,                0.38574,                0.21837,                0.91191,                0.99898,                      1,                  0.995,                0.99355,                0.99898,                      1,                  0.995,                0.99013,                0.20755,                0.30009,                0.26008,                0.64583,              0.0009506,              0.0009506,              0.0009506
                     56,                0.25056,                0.42066,                0.22104,                0.92911,                0.99874,                      1,                  0.995,                  0.995,                0.99874,                      1,                  0.995,                0.98997,                0.18394,                0.32422,                0.30082,                0.62073,              0.0009308,              0.0009308,              0.0009308
                     57,                0.24722,                0.40857,                0.21754,                0.92053,                  0.999,                      1,                  0.995,                  0.995,                  0.999,                      1,                  0.995,                0.98804,                0.17763,                0.34336,                0.21925,                0.61007,               0.000911,               0.000911,               0.000911
                     58,                 0.2433,                0.40852,                0.21438,                0.91872,                0.99889,                      1,                  0.995,                0.98526,                0.99889,                      1,                  0.995,                0.98412,                 0.2038,                  0.311,                 0.2668,                0.63378,              0.0008912,              0.0008912,              0.0008912
